Time,Country,Region,HappinessRank,HappinessScore,EconomyRank,Economy,FamilyRank,Family,HealthRank,Health,FreedomRank,Freedom,TrustRank,Trust,GenerosityRank,Generosity,DystopiaRank,DystopiaResidual
01/01/15,Switzerland,Western Europe,1,7.587,7,1.39651,4,1.34951,9,0.94143,2,0.66557,7,0.41978,43,0.29678,33,2.51738
01/01/15,Iceland,Western Europe,2,7.561,22,1.30232,1,1.40223,7,0.94784,15,0.62877,60,0.14145,14,0.4363,24,2.70201
01/01/15,Denmark,Western Europe,3,7.527,19,1.32548,3,1.36058,30,0.87464,7,0.64938,4,0.48357,29,0.34139,36,2.49204
01/01/15,Norway,Western Europe,4,7.522,5,1.459,6,1.33095,26,0.88521,1,0.66973,14,0.36503,26,0.34699,40,2.46531
01/01/15,Canada,North America,5,7.427,18,1.32629,7,1.32261,18,0.90563,13,0.63297,16,0.32957,13,0.45811,42,2.45176
01/01/15,Finland,Western Europe,6,7.406,24,1.29025,9,1.31826,24,0.88911,8,0.64169,8,0.41372,65,0.23351,28,2.61955
01/01/15,Netherlands,Western Europe,7,7.378,16,1.32944,20,1.28017,21,0.89284,20,0.61576,20,0.31814,8,0.4761,39,2.4657
01/01/15,Sweden,Western Europe,8,7.364,15,1.33171,17,1.28907,15,0.91087,4,0.6598,5,0.43844,25,0.36262,49,2.37119
01/01/15,New Zealand,Australia and New Zealand,9,7.286,29,1.25018,8,1.31967,17,0.90837,11,0.63938,6,0.42922,9,0.47501,60,2.26425
01/01/15,Australia,Australia and New Zealand,10,7.284,14,1.33358,11,1.30923,10,0.93156,6,0.65124,15,0.35637,15,0.43562,59,2.26646
01/01/15,Israel,Middle East and Northern Africa,11,7.278,32,1.22857,38,1.22393,14,0.91387,90,0.41319,105,0.07785,33,0.33172,7,3.08854
01/01/15,Costa Rica,Latin America and Caribbean,12,7.226,74,0.95578,32,1.23788,33,0.86027,12,0.63376,81,0.10583,55,0.25497,4,3.17728
01/01/15,Austria,Western Europe,13,7.2,12,1.33723,16,1.29704,23,0.89042,17,0.62433,38,0.18676,35,0.33088,31,2.5332
01/01/15,Mexico,Latin America and Caribbean,14,7.187,63,1.02054,108,0.91451,38,0.81444,63,0.48181,31,0.21312,122,0.14074,1,3.60214
01/01/15,United States,North America,15,7.119,9,1.39451,30,1.24711,32,0.86179,41,0.54604,47,0.1589,19,0.40105,34,2.51011
01/01/15,Brazil,Latin America and Caribbean,16,6.983,70,0.98124,35,1.23287,79,0.69702,57,0.49049,42,0.17521,120,0.14574,2,3.26001
01/01/15,Luxembourg,Western Europe,17,6.946,2,1.56391,39,1.21963,13,0.91894,19,0.61583,12,0.37798,48,0.28034,91,1.96961
01/01/15,Ireland,Western Europe,18,6.94,13,1.33596,2,1.36948,20,0.89533,18,0.61777,24,0.28703,12,0.45901,89,1.9757
01/01/15,Belgium,Western Europe,19,6.937,21,1.30782,18,1.28566,19,0.89667,31,0.5845,29,0.2254,75,0.2225,48,2.41484
01/01/15,United Arab Emirates,Middle East and Northern Africa,20,6.901,6,1.42727,56,1.12575,41,0.80925,9,0.64157,10,0.38583,53,0.26428,61,2.24743
01/01/15,United Kingdom,Western Europe,21,6.867,27,1.26637,19,1.28548,16,0.90943,26,0.59625,19,0.32067,3,0.51912,90,1.96994
