Year;Country or region;Overall rank;Score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
2018;Finland;1;7,632;1,305;1,592;0,874;0,681;0,202;0,393
2018;Norway;2;7,594;1,456;1,582;0,861;0,686;0,286;0,34
2018;Denmark;3;7,555;1,351;1,59;0,868;0,683;0,284;0,408
2018;Iceland;4;7,495;1,343;1,644;0,914;0,677;0,353;0,138
2018;Switzerland;5;7,487;1,42;1,549;0,927;0,66;0,256;0,357
2018;Netherlands;6;7,441;1,361;1,488;0,878;0,638;0,333;0,295
2018;Canada;7;7,328;1,33;1,532;0,896;0,653;0,321;0,291
2018;New Zealand;8;7,324;1,268;1,601;0,876;0,669;0,365;0,389
2018;Sweden;9;7,314;1,355;1,501;0,913;0,659;0,285;0,383
2018;Australia;10;7,272;1,34;1,573;0,91;0,647;0,361;0,302
2018;United Kingdom;11;7,19;1,244;1,433;0,888;0,464;0,262;0,082
2018;Austria;12;7,139;1,341;1,504;0,891;0,617;0,242;0,224
2018;Costa Rica;13;7,072;1,01;1,459;0,817;0,632;0,143;0,101
2018;Ireland;14;6,977;1,448;1,583;0,876;0,614;0,307;0,306
2018;Germany;15;6,965;1,34;1,474;0,861;0,586;0,273;0,28
2018;Belgium;16;6,927;1,324;1,483;0,894;0,583;0,188;0,24
2018;Luxembourg;17;6,91;1,576;1,52;0,896;0,632;0,196;0,321
2018;United States;18;6,886;1,398;1,471;0,819;0,547;0,291;0,133
2018;Israel;19;6,814;1,301;1,559;0,883;0,533;0,354;0,272
2018;United Arab Emirates;20;6,774;2,096;0,776;0,67;0,284;0,186;N/A
2018;Czech Republic;21;6,711;1,233;1,489;0,854;0,543;0,064;0,034
2018;Malta;22;6,627;1,27;1,525;0,884;0,645;0,376;0,142
2018;France;23;6,489;1,293;1,466;0,908;0,52;0,098;0,176
2018;Mexico;24;6,488;1,038;1,252;0,761;0,479;0,069;0,095
2018;Chile;25;6,476;1,131;1,331;0,808;0,431;0,197;0,061
2018;Taiwan;26;6,441;1,365;1,436;0,857;0,418;0,151;0,078
2018;Panama;27;6,43;1,112;1,438;0,759;0,597;0,125;0,063
2018;Brazil;28;6,419;0,986;1,474;0,675;0,493;0,11;0,088
2018;Argentina;29;6,388;1,073;1,468;0,744;0,57;0,062;0,054
2018;Guatemala;30;6,382;0,781;1,268;0,608;0,604;0,179;0,071
2018;Uruguay;31;6,379;1,093;1,459;0,771;0,625;0,13;0,155
2018;Qatar;32;6,374;1,649;1,303;0,748;0,654;0,256;0,171
2018;Saudi Arabia;33;6,371;1,379;1,331;0,633;0,509;0,098;0,127
2018;Singapore;34;6,343;1,529;1,451;1,008;0,631;0,261;0,457
2018;Malaysia;35;6,322;1,161;1,258;0,669;0,356;0,311;0,059
2018;Spain;36;6,31;1,251;1,538;0,965;0,449;0,142;0,074
2018;Colombia;37;6,26;0,96;1,439;0,635;0,531;0,099;0,039
2018;Trinidad & Tobago;38;6,192;1,223;1,492;0,564;0,575;0,171;0,019
2018;Slovakia;39;6,173;1,21;1,537;0,776;0,354;0,118;0,014
2018;El Salvador;40;6,167;0,806;1,231;0,639;0,461;0,065;0,082
2018;Nicaragua;41;6,141;0,668;1,319;0,7;0,527;0,208;0,128
2018;Poland;42;6,123;1,176;1,448;0,781;0,546;0,108;0,064
2018;Bahrain;43;6,105;1,338;1,366;0,698;0,594;0,243;0,123
2018;Uzbekistan;44;6,096;0,719;1,584;0,605;0,724;0,328;0,259
2018;Kuwait;45;6,083;1,474;1,301;0,675;0,554;0,167;0,106
2018;Thailand;46;6,072;1,016;1,417;0,707;0,637;0,364;0,029
2018;Italy;47;6;1,264;1,501;0,946;0,281;0,137;0,028
2018;Ecuador;48;5,973;0,889;1,33;0,736;0,556;0,114;0,12
2018;Belize;49;5,956;0,807;1,101;0,474;0,593;0,183;0,089
2018;Lithuania;50;5,952;1,197;1,527;0,716;0,35;0,026;0,006
2018;Slovenia;51;5,948;1,219;1,506;0,856;0,633;0,16;0,051
2018;Romania;52;5,945;1,116;1,219;0,726;0,528;0,088;0,001
2018;Latvia;53;5,933;1,148;1,454;0,671;0,363;0,092;0,066
2018;Japan;54;5,915;1,294;1,462;0,988;0,553;0,079;0,15
2018;Mauritius;55;5,891;1,09;1,387;0,684;0,584;0,245;0,05
2018;Jamaica;56;5,89;0,819;1,493;0,693;0,575;0,096;0,031
2018;South Korea;57;5,875;1,266;1,204;0,955;0,244;0,175;0,051
2018;Northern Cyprus;58;5,835;1,229;1,211;0,909;0,495;0,179;0,154
2018;Russia;59;5,81;1,151;1,479;0,599;0,399;0,065;0,025
2018;Kazakhstan;60;5,79;1,143;1,516;0,631;0,454;0,148;0,121
2018;Cyprus;61;5,762;1,229;1,191;0,909;0,423;0,202;0,035
2018;Bolivia;62;5,752;0,751;1,223;0,508;0,606;0,141;0,054
2018;Estonia;63;5,739;1,2;1,532;0,737;0,553;0,086;0,174
2018;Paraguay;64;5,681;0,835;1,522;0,615;0,541;0,162;0,074
2018;Peru;65;5,663;0,934;1,249;0,674;0,53;0,092;0,034
2018;Kosovo;66;5,662;0,855;1,23;0,578;0,448;0,274;0,023
2018;Moldova;67;5,64;0,657;1,301;0,62;0,232;0,171;0
2018;Turkmenistan;68;5,636;1,016;1,533;0,517;0,417;0,199;0,037
2018;Hungary;69;5,62;1,171;1,401;0,732;0,259;0,061;0,022
2018;Libya;70;5,566;0,985;1,35;0,553;0,496;0,116;0,148
2018;Philippines;71;5,524;0,775;1,312;0,513;0,643;0,12;0,105
2018;Honduras;72;5,504;0,62;1,205;0,622;0,459;0,197;0,074
2018;Belarus;73;5,483;1,039;1,498;0,7;0,307;0,101;0,154
2018;Turkey;74;5,483;1,148;1,38;0,686;0,324;0,106;0,109
2018;Pakistan;75;5,472;0,652;0,81;0,424;0,334;0,216;0,113
2018;Hong Kong;76;5,43;1,405;1,29;1,03;0,524;0,246;0,291
2018;Portugal;77;5,41;1,188;1,429;0,884;0,562;0,055;0,017
2018;Serbia;78;5,398;0,975;1,369;0,685;0,288;0,134;0,043
2018;Greece;79;5,358;1,154;1,202;0,879;0,131;0;0,044
2018;Lebanon;80;5,358;0,965;1,179;0,785;0,503;0,214;0,136
2018;Montenegro;81;5,347;1,017;1,279;0,729;0,259;0,111;0,081
2018;Croatia;82;5,321;1,115;1,161;0,737;0,38;0,12;0,039
2018;Dominican Republic;83;5,302;0,982;1,441;0,614;0,578;0,12;0,106
2018;Algeria;84;5,295;0,979;1,154;0,687;0,077;0,055;0,135
2018;Morocco;85;5,254;0,779;0,797;0,669;0,46;0,026;0,074
2018;China;86;5,246;0,989;1,142;0,799;0,597;0,029;0,103
2018;Azerbaijan;87;5,201;1,024;1,161;0,603;0,43;0,031;0,176
2018;Tajikistan;88;5,199;0,474;1,166;0,598;0,292;0,187;0,034
2018;Macedonia;89;5,185;0,959;1,239;0,691;0,394;0,173;0,052
2018;Jordan;90;5,161;0,822;1,265;0,645;0,468;0,13;0,134
2018;Nigeria;91;5,155;0,689;1,172;0,048;0,462;0,201;0,032
2018;Kyrgyzstan;92;5,131;0,53;1,416;0,594;0,54;0,281;0,035
2018;Bosnia and Herzegovina;93;5,129;0,915;1,078;0,758;0,28;0,216;0
2018;Mongolia;94;5,125;0,914;1,517;0,575;0,395;0,253;0,032
2018;Vietnam;95;5,103;0,715;1,365;0,702;0,618;0,177;0,079
2018;Indonesia;96;5,093;0,899;1,215;0,522;0,538;0,484;0,018
2018;Bhutan;97;5,082;0,796;1,335;0,527;0,541;0,364;0,171
2018;Somalia;98;4,982;0;0,712;0,115;0,674;0,238;0,282
2018;Cameroon;99;4,975;0,535;0,891;0,182;0,454;0,183;0,043
2018;Bulgaria;100;4,933;1,054;1,515;0,712;0,359;0,064;0,009
2018;Nepal;101;4,88;0,425;1,228;0,539;0,526;0,302;0,078
2018;Venezuela;102;4,806;0,996;1,469;0,657;0,133;0,056;0,052
2018;Gabon;103;4,758;1,036;1,164;0,404;0,356;0,032;0,052
