Year,Country,id,HappinessRank,HappinessScore,Economy,Family,Health,Freedom,Generosity,Trust
2015,Switzerland,CHE,1,7.587,1.397,1.35,0.941,0.666,0.297,0.42
2015,Iceland,ISL,2,7.561,1.302,1.402,0.948,0.629,0.436,0.141
2015,Denmark,DNK,3,7.527,1.325,1.361,0.875,0.649,0.341,0.484
2015,Norway,NOR,4,7.522,1.459,1.331,0.885,0.67,0.347,0.365
2015,Canada,CAN,5,7.427,1.326,1.323,0.906,0.633,0.458,0.33
2015,Finland,FIN,6,7.406,1.29,1.318,0.889,0.642,0.234,0.414
2015,Netherlands,NLD,7,7.378,1.329,1.28,0.893,0.616,0.476,0.318
2015,Sweden,SWE,8,7.364,1.332,1.289,0.911,0.66,0.363,0.438
2015,New Zealand,NZL,9,7.286,1.25,1.32,0.908,0.639,0.475,0.429
2015,Australia,AUS,10,7.284,1.334,1.309,0.932,0.651,0.436,0.356
2015,Israel,ISR,11,7.278,1.229,1.224,0.914,0.413,0.332,0.078
2015,Costa Rica,CRI,12,7.226,0.956,1.238,0.86,0.634,0.255,0.106
2015,Austria,AUT,13,7.2,1.337,1.297,0.89,0.624,0.331,0.187
2015,Mexico,MEX,14,7.187,1.021,0.915,0.814,0.482,0.141,0.213
2015,United States,USA,15,7.119,1.395,1.247,0.862,0.546,0.401,0.159
2015,Brazil,BRA,16,6.983,0.981,1.233,0.697,0.49,0.146,0.175
2015,Luxembourg,LUX,17,6.946,1.564,1.22,0.919,0.616,0.28,0.378
2015,Ireland,IRL,18,6.94,1.336,1.369,0.895,0.618,0.459,0.287
2015,Belgium,BEL,19,6.937,1.308,1.286,0.897,0.585,0.223,0.225
2015,United Arab Emirates,ARE,20,6.901,1.427,1.126,0.809,0.642,0.264,0.386
2015,United Kingdom,GBR,21,6.867,1.266,1.285,0.909,0.596,0.519,0.321
2015,Oman,OMN,22,6.853,1.36,1.082,0.763,0.633,0.215,0.325
2015,Venezuela,VEN,23,6.81,1.044,1.256,0.721,0.429,0.058,0.111
2015,Singapore,SGP,24,6.798,1.522,1.02,1.025,0.543,0.311,0.492
2015,Panama,PAN,25,6.786,1.064,1.199,0.797,0.542,0.244,0.093
2015,Germany,DEU,26,6.75,1.328,1.299,0.892,0.615,0.282,0.218
2015,Chile,CHL,27,6.67,1.107,1.124,0.859,0.441,0.334,0.129
2015,Qatar,QAT,28,6.611,1.69,1.079,0.797,0.64,0.326,0.522
2015,France,FRA,29,6.575,1.278,1.26,0.946,0.55,0.123,0.206
2015,Argentina,ARG,30,6.574,1.054,1.248,0.787,0.45,0.115,0.085
2015,Czech Republic,CZE,31,6.505,1.179,1.206,0.845,0.464,0.107,0.027
2015,Uruguay,URY,32,6.485,1.062,1.209,0.812,0.604,0.232,0.246
2015,Colombia,COL,33,6.477,0.919,1.24,0.691,0.535,0.184,0.051
2015,Thailand,THA,34,6.455,0.967,1.265,0.739,0.557,0.576,0.032
2015,Saudi Arabia,SAU,35,6.411,1.395,1.084,0.72,0.31,0.137,0.325
2015,Spain,ESP,36,6.329,1.23,1.314,0.956,0.46,0.182,0.064
2015,Malta,MLT,37,6.302,1.207,1.302,0.887,0.604,0.518,0.136
2015,Taiwan,TWN,38,6.298,1.291,1.076,0.875,0.397,0.254,0.081
2015,Kuwait,KWT,39,6.295,1.554,1.166,0.725,0.555,0.162,0.256
2015,Suriname,SUR,40,6.269,0.995,0.972,0.608,0.597,0.17,0.136
2015,Trinidad and Tobago,TTO,41,6.168,1.212,1.184,0.615,0.559,0.318,0.011
2015,El Salvador,SLV,42,6.13,0.765,1.025,0.677,0.404,0.107,0.118
2015,Guatemala,GTM,43,6.123,0.746,1.044,0.644,0.577,0.275,0.095
2015,Uzbekistan,UZB,44,6.003,0.632,1.34,0.598,0.658,0.228,0.308
2015,Slovakia,SVK,45,5.995,1.169,1.27,0.789,0.318,0.169,0.034
2015,Japan,JPN,46,5.987,1.271,1.257,0.991,0.496,0.107,0.181
2015,South Korea,KOR,47,5.984,1.245,0.958,0.965,0.332,0.186,0.079
2015,Ecuador,ECU,48,5.975,0.864,0.999,0.791,0.486,0.115,0.181
2015,Bahrain,BHR,49,5.96,1.324,1.216,0.747,0.455,0.174,0.306
2015,Italy,ITA,50,5.948,1.251,1.198,0.954,0.262,0.228,0.029
2015,Bolivia,BOL,51,5.89,0.681,0.978,0.539,0.574,0.205,0.088
2015,Moldova,MDA,52,5.889,0.594,1.015,0.618,0.328,0.21,0.016
2015,Paraguay,PRY,53,5.878,0.76,1.305,0.661,0.539,0.342,0.082
2015,Kazakhstan,KAZ,54,5.855,1.123,1.122,0.644,0.516,0.118,0.085
2015,Slovenia,SVN,55,5.848,1.185,1.274,0.873,0.609,0.253,0.038
2015,Lithuania,LTU,56,5.833,1.147,1.257,0.731,0.213,0.026,0.01
2015,Nicaragua,NIC,57,5.828,0.593,1.142,0.743,0.555,0.278,0.193
2015,Peru,PER,58,5.824,0.9,0.975,0.73,0.415,0.15,0.06
2015,Belarus,BLR,59,5.813,1.032,1.233,0.736,0.379,0.11,0.191
2015,Poland,POL,60,5.791,1.126,1.279,0.779,0.531,0.168,0.042
2015,Malaysia,MYS,61,5.77,1.125,1.07,0.724,0.53,0.331,0.105
2015,Croatia,HRV,62,5.759,1.083,0.796,0.788,0.259,0.054,0.024
2015,Libya,LBY,63,5.754,1.131,1.119,0.704,0.417,0.183,0.11
2015,Russia,RUS,64,5.716,1.138,1.236,0.669,0.367,0.002,0.03
2015,Jamaica,JAM,65,5.709,0.81,1.151,0.687,0.504,0.212,0.023
2015,North Cyprus,CYP,66,5.695,1.208,1.07,0.924,0.49,0.262,0.143
2015,Cyprus,CYP,67,5.689,1.208,0.893,0.924,0.407,0.306,0.061
2015,Algeria,DZA,68,5.605,0.939,1.078,0.618,0.286,0.078,0.174
2015,Kosovo,KOS,69,5.589,0.801,0.812,0.631,0.247,0.283,0.047
2015,Turkmenistan,TKM,70,5.548,0.958,1.227,0.539,0.476,0.17,0.308
2015,Mauritius,MUS,71,5.477,1.008,0.985,0.71,0.561,0.377,0.075
2015,Hong Kong,HKG,72,5.474,1.386,1.058,1.013,0.596,0.395,0.371
2015,Estonia,EST,73,5.429,1.152,1.228,0.774,0.449,0.087,0.152
2015,Indonesia,IDN,74,5.399,0.828,1.087,0.638,0.466,0.515,0
2015,VNM,VNM,75,5.36,0.632,0.912,0.747,0.594,0.169,0.104
2015,Turkey,TUR,76,5.332,1.061,0.946,0.732,0.228,0.123,0.157
2015,Kyrgyzstan,KGZ,77,5.286,0.474,1.151,0.651,0.435,0.3,0.042
2015,Nigeria,NGA,78,5.268,0.654,0.904,0.16,0.343,0.272,0.04
2015,Bhutan,BTN,79,5.253,0.77,1.104,0.574,0.532,0.48,0.154
2015,Azerbaijan,AZE,80,5.212,1.024,0.938,0.64,0.37,0.078,0.161
2015,Pakistan,PAK,81,5.194,0.595,0.414,0.515,0.121,0.337,0.105
2015,Jordan,JOR,82,5.192,0.902,1.054,0.696,0.407,0.111,0.143
2015,Montenegro,MNE,82,5.192,0.974,0.906,0.725,0.183,0.161,0.143
2015,China,CHN,84,5.14,0.89,0.947,0.817,0.517,0.082,0.028
2015,Zambia,ZMB,85,5.129,0.47,0.916,0.299,0.488,0.196,0.125
2015,Romania,ROU,86,5.124,1.043,0.886,0.769,0.351,0.137,0.006
2015,Serbia,SRB,87,5.123,0.921,1.01,0.748,0.201,0.192,0.026
2015,Portugal,PRT,88,5.102,1.16,1.139,0.875,0.515,0.137,0.011
2015,Latvia,LVA,89,5.098,1.113,1.096,0.724,0.297,0.182,0.063
2015,Philippines,PHL,90,5.073,0.705,1.035,0.581,0.625,0.25,0.123
2015,Somaliland region,SOM,91,5.057,0.188,0.952,0.439,0.466,0.503,0.399
2015,Morocco,MAR,92,5.013,0.735,0.641,0.61,0.417,0.072,0.085
2015,Macedonia,MKD,93,5.007,0.919,1.002,0.735,0.335,0.224,0.053
2015,Mozambique,MOZ,94,4.971,0.083,1.026,0.091,0.34,0.223,0.156
2015,Albania,ALB,95,4.959,0.879,0.804,0.813,0.357,0.143,0.064
2015,Bosnia and Herzegovina,BIH,96,4.949,0.832,0.919,0.791,0.092,0.248,0.002
2015,Lesotho,LSO,97,4.898,0.375,1.041,0.076,0.318,0.164,0.125
2015,Dominican Republic,DOM,98,4.885,0.895,1.172,0.668,0.577,0.217,0.142
2015,Laos,LAO,99,4.876,0.591,0.738,0.549,0.596,0.422,0.242
2015,Mongolia,MNG,100,4.874,0.828,1.301,0.603,0.436,0.332,0.027
2015,Swaziland,SWZ,101,4.867,0.712,1.073,0.076,0.307,0.183,0.031
2015,Greece,GRC,102,4.857,1.154,0.929,0.882,0.077,0,0.014
2015,Lebanon,LBN,103,4.839,1.026,0.8,0.839,0.339,0.219,0.046
2015,Hungary,HUN,104,4.8,1.121,1.202,0.759,0.321,0.128,0.028
2015,Honduras,HND,105,4.788,0.595,0.953,0.695,0.401,0.23,0.068
2015,Tajikistan,TJK,106,4.786,0.39,0.856,0.574,0.472,0.23,0.151
2015,Tunisia,TUN,107,4.739,0.881,0.604,0.738,0.263,0.064,0.064
2015,Palestinian Territories,PSE,108,4.715,0.599,0.926,0.66,0.245,0.113,0.129
2015,Bangladesh,BGD,109,4.694,0.398,0.431,0.602,0.408,0.212,0.126
2015,Iran,IRN,110,4.686,1.009,0.544,0.698,0.3,0.381,0.059
2015,Ukraine,UKR,111,4.681,0.799,1.203,0.674,0.251,0.153,0.03
2015,Iraq,IRQ,112,4.677,0.985,0.819,0.602,0,0.179,0.138
2015,South Africa,ZAF,113,4.642,0.92,1.185,0.277,0.332,0.12,0.089
2015,Ghana,GHA,114,4.633,0.546,0.68,0.401,0.423,0.231,0.044
